Subcorpus	Filename	Year data collection	Placement test score (raw)	Placement test score (%)	Proficiency	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Father's native language	Mother's native language	Languages spoken at home	Age of exposure to English	Years studying English	Stay abroad in English speaking country (>= 1 month)	Stay abroad (where)	Stay abroad (when)	Stay abroad (months)	Language certificates (type and level)	Proficiency (self-assessment) speaking	Proficiency (self-assessment) listening	Proficiency (self-assessment) reading	Proficiency (self-assessment) writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writing/audio details	Minutes taken to complete the task	Where the task was done	Resources used	Text	Original text
Learners	DE_SP_B1_33_10_14_JR	2018	38 / 60	63.3	B1 (lower intermediate)	Female	33	Universität Bremen	English-Speaking Cultures, Philosophie	2	German	German	German	German	10	10	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	3.75 / 6	French	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	Spoken	14	14. Chaplin	spoken_offline_lab	""	""	""	Ok this story is about toch uh Charles Chaplin get in touch with the baby and it starts when he walks down a shabby side road / and people uh threw their trash out of the window and / he was hit by some trash and then he um put on a new cigarette / and he heard a baby screaming and he looked down on the ground where the baby lies / and he picks it up / and uh / when he looks at the baby behind him there’s a woman / uh  carrying a ba=baggy with the baby in it and he uh / turns around and decides that maybe she uh / is the mother of the baby or he could just put it / into it and uh / when he does uh the uh woman cam=came back and si uh told him that it’s not hers and he should pick it up again / then he picks it up and wants to put it back on the ground / and uh / while he does that a police officer’s coming / uh right behind him and looks very / uh strict and uh Charlie Chaplan decides to pick the baby up again and walks away / and he uh / meets an elderly man xxx walking stock and asked him to hold the baby for a moment and uh / the man said yes and then Charlie Chaplin walks away and uh the old man walks / with the baby / along the street and finds the baggy from the woman before / and / he decides to put in the baby and walks away as well and then the woman came back from a shop / and uh she finds the additional baby / and is mad and that happened when Charlie Chaplin crosses her way and she / follows him with her umbrella and is really uh angry / and they start to fight / over the baby and there uh huge discussion when the policemen from before / arrives and Charlie Chapman decides to avoid any more trouble that he picks the baby up again / and / then he walks back to the street sit down and uh other things uh options where he could pick the bae uh put the baby and he decide to uh / look in the hole / but then he uh hhh he decides to take a closer look at the baby and he finds uh / a piece of paper where it said that / eh whoever finds the baby should uh take care of it and love this orphan child and then he decides to / pick it up and take it somewhere else	
Learners	DE_WR_B1_33_10_14_JR	2018	38 / 60	63.3	B1 (lower intermediate)	Female	33	Universität Bremen	English-Speaking Cultures, Philosophie	2	German	German	German	German	10	10	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	3.75 / 6	French	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	Written	14	14. Chaplin	written_online	40	Outside classroom	Monolingual dictionary (Spanish)	Charlie Chaplin is walking down a street with quite shabby looking houses when he suddenly got hit by some trash that seemed to be thrown out of a window (which is not visible to the audience in the screen ) and should have fallen into the waste can next to Chaplin. <br/>  <br/> Chaplin lights another cigarette, throws his gloves into the trash and looks to the other side where he finds a baby covered in a blanket lying on the Floor. He looks up to the window from where the trash was thrown out and picks the baby up.  <br/>  <br/> Right behind him arrives a woman with a Buggy. She seems to look for something.Chaplin tries to get her attention, while she is returning from entering a house entrance he sets the baby into the buggy to the other kid. The woman is furious and tells him after Chaplin wants to leave her with both kids in the buggy to take the kid back and he eventually does that and walks away. <br/>  <br/> Chaplin arrives at the spot where he found the baby and put it back while a policeman arrived behind him seriously scanning the Situation. Chaplin turning around and almost stumbling into the policeman returns to the baby, picks it up and walks around the corner and finds an elderly man with a walking stick. Chaplin puts the baby in his arms and fastly walks away after pretending he needs to tie up his shoe. <br/>  <br/> The elderly man quickly walks with the baby around the corner just to find a buggy with another kid inside where he places the baby and disappears. After he is gone the woman from before steps out of the entrance and looks at the buggy, gets annoyed and is likely to look for Charlie Chaplin who encounters again the police man and eventually passes without any reaction. She follows him, hits him with her umbrella and drags him back to the buggy. They argue about the baby when the policeman joints the situation. Finally, Chaplin takes the baby out of the buggy and walks away, so do the others.  <br/>  <br/> Chaplin sits on the sidewalk thinking about putting the baby into a duct but then he rolls back.  <br/> He looks at the baby and finds a note saying that this baby is an orphan and needs love and care.  <br/> He smiles at the baby in his arms, gets up and walks away with it.	
Learners	DE_WR_B1_24_16_14_MW	2018	39 / 60	65	B1 (lower intermediate)	Female	24	Universität Bremen	Sprachwissenschaften	Germanistik und English-Speaking-Cultures	German	German	German	German	8	16	No	""	""	0	""	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	B2 (upper intermediate)	4.75 / 6	Spanish	C2 (upper advanced)	C2 (upper advanced)	C2 (upper advanced)	C1 (lower advanced)	Written	14	14. Chaplin	written_online	10	Outside classroom	""	"In this video ""The boy, the kid"" by Charles Chaplin is a men who is walking down a street and finds a baby wrapped up in blankets. He is trying to find the parents or just the mother of this baby. After trying to get the baby in to a carrier of a women, the women refuses the baby, that this is not her baby. Charles Chaplin is walking down the street and is getting involved with a police officer by trying to get rit of the baby on the street. He is walking around and giving the baby to an old men. At the end Charles Chaplin is keeping the baby."	
Learners	DE_WR_B2_21_13_14_DS	2018	40 / 60	66.7	B2 (upper intermediate)	Male	21	Universität Bremen	SoSe 2018 (2. Semester)	Musikwissenschaften/English-Speaking Cultures	German	Russian	Russian	German	8	13	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	4 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	7	Outside classroom	Background readings about the task topic (newspapers, internet, TV, etc.)	In the following clip, one can see Charlie Chaplin going through a street. A few seconds later after smoking a cigarette, he discovers a child lying on the floor. He picks it up and searches for the mother. Afterwards, a mother with a child passes by. Chaplin thinks, that she might be the mother of the child. But that is not the case, because she denies being the mother. This leads to Chaplin laying the child back down where he found it, until a police officer appears. Without wanting to leave a bad impression, he picks up the child again and runs away, until he gives it to a homeless person on the way. The homeless person lays the child in a baby buggy, which belongs to the mother from a few moments ago. Of course there is no other than Charlie Chaplin who appears afterwards, which leads to the mother beating him up. The policeman appears afterwards as well, so Chaplin has to leave again with the baby. Sitting on the street with the kid, Chaplin discovers a letter and gets to know that the child has been abandoned by its parents. Finally, one can see Chaplin smiling towards the orphan holding it.	
Learners	DE_WR_B2_22_11_14_AK	2019	41 / 60	68.3	B2 (upper intermediate)	Male	22	Universität Bremen	English-speaking-cultures	English, Französich, Erziehungswissenschaften	German	French	Tagalog	Tagalog	1	11	No	""	""	0	""	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	B2 (upper intermediate)	4.5 / 6	French	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	Written	14	14. Chaplin	written_online	900	Outside classroom	""	The short movie is about Charlie Chaplin finding a baby and searching for its parents. In the first sequence one can see Charlie Chaplin lighting a cigarette. By doing so he suddenly notices a baby besides the bins on the ground. He is not able to identify the parents of the baby. As he sees a woman passing by with a stroller, he suggests that it could be the mother of the baby. So he layed the baby in to the stroller. It turned out that it was not her baby. As a consequence she started mocking at Charlie, so he had to take it out of the stroller again. As he had no other idea where to place down the baby, he layed it back to the place he found the baby. But this move failed again. A officer cought him laying down the baby on the floor so he had to pick up the baby again. Once more he is disperately thinking of an other option. He encounters an old man, which he could hand over the baby with a ruse and flees right afterwards. This olderly man then sees the woman with the stroller, and puts it in the stroller as Charlie had done before. Therfore the woman suggested Charlie the one ho had put the baby in her stroller as Charlie crossed her way. She hits him with a umbrella and gives him back the baby. Charlie gives up and now realises that it is  an orphan baby as he finds a small letter which says to please take care of that orphan baby.	
Learners	DE_WR_B2_21_13_14_TS	2019	42 / 60	70	B2 (upper intermediate)	Female	21	Universität Bremen	2 Fächer Bachelor Gyo	Kunst und Englisch	German	English	German	German	8	13	No	""	""	0	""	C1 (lower advanced)	C2 (upper advanced)	C2 (upper advanced)	B2 (upper intermediate)	5.25 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	20	Outside classroom	Bilingual dictionary (German/English)	Charlie Chaplin walks through the streets while some residents throw trash outside their windows. Suddenly he gets hit by some of the trash a neighbour threw out and complained. As he looked down to clean himself up and light another cigar, he notices the babys cries and lift it up. In the exact moment a woman with a stroller and her own baby walks into the background of the scene, Chaplin thought that she might accidently lost her child and wanted to return it. He put the baby he just found into the stroller and implied that she dropped something, the mother reacts furious and wants him to take the baby and leave. As he walked back to the spot where he had found the baby, a police officer walked in. Chaplin notices him and picks the baby up again because he didn't want to get into trouble for abandoning the baby. He walks around the corner and notices an older man,  suddenly he had an idea how to get rid of the child for his own sake. He asked the man to hold the baby while he ties his shoe laces, he agreed and as soon as he seemed distracted Chaplin ran away. He hid in a parking lot, confused the older man searches for him and came across the stroller with a baby inside and just laid the baby he just recieved inside. As Chaplin wanted to leave the scene, the Police Officer appeared again and he knowingly avoids him. Thus he walks by the woman with the stroller, that noticed that the baby was inside her stroller again, she assumed that Chaplin had dropped it in there again and furiously attacks him with her umbrella. Angrily she drags him to the stroller and shouts at him, that he should take the baby and leave. Once again the police officer stepped into the scene and the woman seems to try to get his help but decided just to leave. Chaplin leaves the scene as well and decided to sit down on the roadside with the baby on his lap. He contemplates wherever he should get rid of the baby and looked suspiciously into the sewerage. He declined that thought and turned the baby into another position in his arms and notices a small letter in which is written that this baby is a orphan, a child without living parents and that someone should take care for the baby and treat it with love. As he realised the sad fate of this baby, he smiled at it and interacted with it quite caring and leaves the scene.	
Learners	DE_WR_B2_29_20_14_ER	2018	42 / 60	70	B2 (upper intermediate)	Female	29	Universität Bremen	Bachelor mit Option auf Lehramt	English - Speaking Culture, Religionspädagogik	German	German	Thai	German	9	20	No	""	""	0	""	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	B2 (upper intermediate)	4.5 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	8	Both inside and outside classroom	Spellchecker	In the beginning Chaplin got almost hit by something that came from above. Due to the shock, he decided to smoke a cigarette. Furthermore, he found a baby and until the end of the film he tried to put the baby back in the baby carriage. The baby carriage belongs to a woman, which he thought, is the mother of the baby. Further protagonists are a police officer and a homeless man. The story ends with Chaplin going away with the baby.	
Learners	DE_WR_B2_18_9_14_TB	2019	43 / 60	71.7	B2 (upper intermediate)	Male	18	Universität Bremen	Lehramtsoption Gymnasium/Oberschule	Mathematik, Englisch	German	Turkish	Turkish	German	9	9	No	England	2017	0	""	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	4 / 6	Turkish	A2 (upper beginner)	B1 (lower intermediate)	A2 (upper beginner)	A1 (lower beginner)	Written	14	14. Chaplin	written_online	15	Outside classroom	Bilingual dictionary (German/English)	Charles walks down a street trying to dodge trash that people throw out of their windows. After that he finds a lonely baby in a corner while he just started smoking a cigarette. He decides to pick up the baby and discovers a mother with a baby carriage and a child in it. He thought the baby belongs to her so he puts him in the stroller. The mother gets upset telling him to take his baby back. So he took the baby back and placed it right where he found him but this time a police officer walks by. He takes the baby again back and walks around with him until he finds another person. He gives the baby in his arms and runs away. The guy with the baby finds the mother with the stroller as well and so he puts the baby in it and walks away. Charles now randomly walks by the baby carriage as the mother sees the random baby in it again. She hits Charles a few times and force him to take the baby out by speaking to the police officer. So he picks the baby back up and sits at a roadside. There he finds a paper which was hidden in the clothing of the baby. It leads to him being happy and deciding to keep the baby.	
Learners	DE_SP_B2_20_12_14_EB	2018	43 / 60	71.7	B2 (upper intermediate)	Female	20	Universität Bremen	English Speaking Cultures	Religionswissenschaften/Religionspädagogik, English Speaking Cultures, Lehramt Gymnasium/Oberschule	German	German	German	German	8	12	No	""	""	0	""	C1 (lower advanced)	C2 (upper advanced)	C2 (upper advanced)	C1 (lower advanced)	5.5 / 6	French	B1 (lower intermediate)	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	Spoken	14	14. Chaplin	spoken_offline_lab	""	""	""	uh in the clip Charlie Chaplin walks down a dirty road where lots of rubble falls down also hits him uh he’s quite angry about the situation in the street uh lits a cigarette to calm himself down probably afterwards he finds a baby covered in blankets in a corner he picks the baby up uh / thinks about what to do with the baby and where the baby belongs to when a woman crossed his road and he recognises the woman and sees her she’s also carrying another baby and she thinks that he thinks that the baby g= belongs to the woman so he places the baby he found  next to her baby when the woman recognizes this she gets angry about Charlie Chaplin and / also hits him and shouts at him probably so he takes the baby and runs away / then he tries to put the baby back into the corner where he found it but a police officer watches him so he runs away from the officer with the baby / then he crosses or meets an old man and he gives the baby to the man and / pretends to tie his shoes when the man holds the baby he just gets up and run away and hhh the old man whose got the baby now also runs away with the baby and tries to follow Charlie Chaplin who hides in a house then the old man also sees the woman with the other baby and puts the f= baby who was found in the corner next to the baby of the woman uh and runs away again then Charlie Chaplin meets the woman another time who sees the baby in her next to her baby and gets angry another time and hits Charlie Chaplin another time who takes the baby again and runs away with the baby / uh / then he sits down on a / s= on the side of the street and thinks about what to do with the baby right now whether he should place it just next to the street then he finds a small piece of paper inside the blankets of the baby which says that this baby is an orphan and needs someone to care about uh care take care of the baby ‘n’ then he just takes the baby smiles and goes away with the baby in his arm	
Learners	DE_WR_B2_20_10_14_SA	2018	43 / 60	71.7	B2 (upper intermediate)	Female	20	Universität Bremen	Lehramt: Englisch und Französisch	Englisch, Französisch	German	Kurdish	Kurdish	German, Kurdish	10	10	No	""	""	0	""	B2 (upper intermediate)	B1 (lower intermediate)	C1 (lower advanced)	C1 (lower advanced)	4.25 / 6	French, Spanish	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	Written	14	14. Chaplin	written_online	40	Outside classroom	Bilingual dictionary (German/English)	In the beginning of the scene, Chaplin walked down a street full of  ash and wreck. As he passed the street, a man threw stones out of his window which nearly hit Chaplin. Uninterested, Charly kept smoking his cigarette and kept walking. Suddenly, he was hit by a big stone from another unknown person. He stoped and pulled out a small box out of his inner jacket pocket. He opened the box, took out a new cigarette, put off his gloves, and touched his shoe sole in order to set fire to his cigarette. Not knowing where to put his gloves, he threw them in the can next to him. As the looked to the other side, he saw a baby left alone next to the ashes on the street. He went to the baby but then looked up to the windows, thinking whether someone threw the baby out or was missing it. Then he lifted the baby up and wasn‘t sure where to go. As he saw a woman with a trolley walking behind him, he followed her. She entered into the building while Charly laid the baby in her trolley. She came out and saw a second baby in her trolley, then saw Chaplin, shoutet at him and told him to take the baby. Charly went back to the spot where he found the baby and wanted to lay it there. But then a policeman saw his act and Charly took the baby again. He walked on and saw another old man and pretended that he had to tie his shoe but then ran away. The old man followed him and then saw the trolley and put the baby in the woman‘s trolley. The woman came out of yet another shop and saw Charly walking in front of her. She hit him with her umberella and forced him to take the baby again as the policeman saw the happening. Chaplin took the baby and went away. He sat down on the street and saw a gulli, opened it and looked at the baby but then closed it again. Then he saw a letter saying:“Please love and care for this orphan child“.  He put the letter in his pocket, smiled at the baby and left the scene.	
