Subcorpus	Filename	Year data collection	Placement test score (raw)	Placement test score (%)	Proficiency	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Father's native language	Mother's native language	Languages spoken at home	Age of exposure to English	Years studying English	Stay abroad in English speaking country (>= 1 month)	Stay abroad (where)	Stay abroad (when)	Stay abroad (months)	Language certificates (type and level)	Proficiency (self-assessment) speaking	Proficiency (self-assessment) listening	Proficiency (self-assessment) reading	Proficiency (self-assessment) writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writing/audio details	Minutes taken to complete the task	Where the task was done	Resources used	Text	Original text
Learners	ES_WR_A1_25_9_3_MHJ	2020	7 / 60	11.7	A1 (lower beginner)	Female	25	Universidad de Granada	Filología Hispánica	4	Spanish	Spanish	Spanish	Spanish	10	9	No	""	""	0	""	B1 (lower intermediate)	B1 (lower intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	3.25 / 6	""	""	""	""	""	Written	3	3. Film	written_online	9	Outside classroom	""	"Yesterday I saw a film named ""Live twice"". The film is based in one old man with alzehimer. The man wanted to find his first love before that he forget his memory. He travels with the family and he lives a lot of adventures.  <br/> When he finds his love, he discovers that she has alzehimer to, and he doesn't remember him. Is a romantic film, but sometimes is hard and sad because the man lose memory many times."	
Learners	ES_SP_A1_20_17_3_MRC	2019	9 / 60	15	A1 (lower beginner)	Female	20	Universidad de Granada	Estudios Ingleses	3º	Spanish	Spanish	Spanish	Spanish	3	17	No	""	""	0	""	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	4.75 / 6	Chinese	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Spoken	3	3. Film	spoken_offline_lab	10	Outside classroom	""	I'm going to make a summary about the hhh book uh literary movie / the great Gatsby hhh this movie uh talk about / uh / the history of a young man hhh that moved to a hhh great city hhh uh he lives in west edge hhh west edge uh hhh which is a pla= uh which is a place hhh that / uh hhh uh has a great lake hhh in front of his house / hhh uh the other part of the lake / was called east edge and / was the place where the rich people lives / hhh this young man uh start in an office / uh to work hhh uh he / enters in the hhh business of hhh uh gains hhh uh of sports hhh and he has a strange hhh neighbour hhh who hhh uh has / who he has never saw hhh one day he came to he went hhh to hhh uh lunch with / one of hhh her relatives when one with one of his relatives hhh uh he was her his cousin hhh uh hhh they had lunch and talk about hhh their lives because hhh they haven't seen each other for a long time hhh uh curiously uh the name of a great / uh of a well-known citizen uh xxx uh / this man is the great Gatsby hhh uh this man is very well-known hhh because of his massive and great hhh parties hhh parties that he arranged in his mansion / hhh uh these parties were very well-known by all the citizens hhh all xxx all over the country / hhh when the young man returned to hhh his place hhh he found that / his neighbour hhh had a great mansion hhh the / the place was incredible beau= incredible beautiful / and / hhh he receive an invitation to a party in this house / hhh in the party / uh he met his he met his cousin and / the husband of his cousin hhh therefore the party the young man attend was hhh uh / curiously / uh arranged by the great Gatsby hhh when he finally met the great Gatsby hhh he hhh realized that / this man hhh was his neighbour / uh hhh despite of what / people / tell about the great Gatsby hhh uh he was an excellent man and very humble hhh he gives / uh others all what he had hhh uh he was always caring people in his parties hhh procuring that uh people have fun hhh in them hhh so uh this young man eh Gatsby became friends hhh uh hhh he the young man eventually / uh / realized / uh curious / uh story hhh his cou= his cousin and the great Gatsby hhh were in love / a long time ago hhh therefore / uh they were about to marry hhh before Gatsby went to the work / hhh uh that's the reason because that's the reason why they hhh uh didn't finally get married / uh xxx to his cousin and she has really forgotten him hhh so / uh she became very sad when she tells about Gatsby / uh when her when his cousin and Gatsby finally hhh met together again hhh uh there is an undeniable connection between them hhh despite the fact that uh she had a ma= she had a husband hhh uh therefore / hhh in addition uh / she is a very uh bullied uh or abused abused uh somehow uh by hir by her husband because hhh he / cheated on her / with another woman hhh uh / this is also another / reason hhh why she is so sad hhh and she wants to return to Gatsby hhh which is who is uh who really is the love of her life hhh uh / Gatsby made uh the / impossible hhh to hhh take her back hhh but / unfortunately hhh uh she / uh must to / hhh keep marriage to / her husband hhh uh / and the final of the movie hhh at the end of the movie hhh uh she / uh at the end of the movie hhh Gatsby is killed / by a man / hhh he is shoot in his own house / hhh uh nobody uh nobody attend to his funeral except his / very friends and young boy hhh that we are were talking about at the beginning	
Learners	ES_WR_A1_20_17_3_MRC	2019	9 / 60	15	A1 (lower beginner)	Female	20	Universidad de Granada	Estudios Ingleses	3º	Spanish	Spanish	Spanish	Spanish	3	17	No	""	""	0	""	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	4.75 / 6	Chinese	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	3	3. Film	written_online	10	Outside classroom	""	"I have recently seen ""The Great Gatsby"", the 2012 version. This film has diverse elements, mainly involving luxury. Nick, one of its main characters, comes to Long Island to begin a life there. His cousin, Daisy, lives in the other side of the bay, and she is married with a man who is unfaithful to her. During a launch, a great party is mentioned, it would take place in West Egg, next to Nick's house. The host of this party is Jay Gabtsby, a man known by his misterious history and his unbelievable parties. Daisy knows Gatsby, they were in love in the past. At that time, Gatsby had to go to the war. This separated them, and Daisy finally marries to another man. They meet at one of Gatsby's party, and they start to have contact again."	
Learners	ES_SP_A1_21_15_3_ADA	2019	10 / 60	16.7	A1 (lower beginner)	Female	21	Universidad de Granada	Estudios Ingleses	""	Spanish	Spanish	Spanish, French	Spanish	6	15	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	4.5 / 6	French	A2 (upper beginner)	B2 (upper intermediate)	B1 (lower intermediate)	A2 (upper beginner)	Spoken	3	3. Film	spoken_offline_lab	5	Outside classroom	""	uh two weeks ago I watched Harry Potter because it is / hhh my favourite film / ever / hhh and it is about / a boy / who was born a magician but he doesn't know it because both of his parents / were killed when / he was born / hhh like he was a baby / and he lives with hhh uh his / aunt / and / hhh his cousin and his uncle / and they didn't tell him / anything / hhh but one day he discovers it / and / hhh he realizes that he has to go to a special / school / where they / teach / magic hhh basically hhh uh there are a lot of different courses / hhh uh / with spells hhh in xxx hhh / and / he makes near friends 'cos he didn't have any friend before that hhh / called Ron Weasley which is / who is / sorry / uh his best friend / and a girl called Hermione Granger hhh who is like the great greatest / witch / of xxx / hhh uh hhh while the the course hhh uh is going on / he realizes that hhh at the end of the film more or less he has to defeat / the same exact / guy who killed / his parents when he was born / hhh and hhh that's it / he defeats him / hhh and the film ends	
Learners	ES_WR_A1_21_10_3_MJM	2019	10 / 60	16.7	A1 (lower beginner)	Female	21	Universidad de Granada	Marketing	4°	Spanish	Spanish	Spanish	Spanish	5	10	No	""	""	0	""	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	3.5 / 6	""	""	""	""	""	Written	3	3. Film	written_online	6	Inside classroom	Bilingual dictionary (Spanish/English)	The last movie I saw was 'Mia and the white lion'. It was a girl who grows up caring for a little lion and when she became an adult, Mia wanted to save him from the hunters. <br/> Mia and her family lived in the Sahara, and try to protect the lions because they are in danger of extinction but her father decides to sell one of his lions to poachers to get money and continue with the lion shelter. When Mia becomes aware of what her father was going to do, she flees with the lion to take him to a protected reserve.	
Learners	ES_WR_A1_21_15_3_ADA	2019	10 / 60	16.7	A1 (lower beginner)	Female	21	Universidad de Granada	Estudios Ingleses	""	Spanish	Spanish	Spanish, French	Spanish	6	15	No	""	""	0	""	B2 (upper intermediate)	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	4.5 / 6	French	A2 (upper beginner)	B2 (upper intermediate)	B1 (lower intermediate)	A2 (upper beginner)	Written	3	3. Film	written_online	5	Outside classroom	""	Yesterday I watched Harry Potter. It is about a 11 years old kid who discovers that he is a magician. He has to get rid of his normal life and get used to go to a school (called Hogwarts) where he will learn subjects like transfiguration, potions, history of magic, astronomy...  <br/> He will make new friends, named Ron and Hermione, but he will find enemies as well, such as Draco Malfoy. Also, he soon discovers how did his parents die (which was because of a cruel  magician) and will have to defeat him in person at the end of the film. I enjoyed it too much since it is my favorite film since I was a kid and I really like everything that has to do with magic and fantasy.	
Learners	ES_WR_A1_23_17_3_IP	2019	10 / 60	16.7	A1 (lower beginner)	Female	23	Universidad de Granada	Estudios ingleses	4	Spanish	Spanish	Spanish	Spanish	6	17	No	England, Scotland, Ireland	2012, 2014, 2017, 2018, 2019	0	B1	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	3.75 / 6	""	""	""	""	""	Written	3	3. Film	written_online	15	Inside classroom	""	The last film that I have watched was about a twenty year old girl in a middle of an existential crisis. She travells to Tokio with her boyfriend because of his profession, he is a famous photographer. During her stay in the city she meets an old actor whose days of Fame had finally ended, he is in Tokio filming addvertisements. Tokio functions as a Sort of glue between The two characters. They feel lonely in a crowded city thing, that serves as a starting point pf the film yo show how impersonal a Big city could be. The story of two souls that Connect, and that despiste the fact of their difference regarding age; they share feelings. They are Lost in translation.	
Learners	ES_WR_A1_25_19_3_MAVM	2019	10 / 60	16.7	A1 (lower beginner)	Female	25	Universidad de Granada	Estudios ingleses	""	Spanish	Spanish	Spanish	Catalan (Mayorca)	6	19	No	""	""	0	""	A1 (lower beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	1.75 / 6	""	""	""	""	""	Written	3	3. Film	written_online	15	Inside classroom	Bilingual dictionary (Spanish/English)	The last film I have seen is 'Ex-machina'. It is a film about how artificial intelligence interacts with humans. The main protagonist of the film is a young man who has been selected to decide whether a female-like robot has her own consciousness or not, to do so he has to move to the robot creator's house, where he has the robot locked up in a room, and perform with her a series of interviews. The film hookes the audience from the beginning untill the end due to the mysterious atmosphere carried throughout the movie.	
Learners	ES_WR_A1_19_10_3_MMJ	2019	12 / 60	20	A1 (lower beginner)	Female	19	Universidad de Granada	historia	2º	Spanish	Catalan	Spanish	Spanish	6	10	No	""	""	0	""	A1 (lower beginner)	A2 (upper beginner)	B1 (lower intermediate)	A1 (lower beginner)	1.75 / 6	Catalan	B2 (upper intermediate)	C2 (upper advanced)	C2 (upper advanced)	B2 (upper intermediate)	Written	3	3. Film	written_online	20	Inside classroom	Spellchecker	I recently  see the famous  movie of Titanic, as you probably knows  treats about a tragic love story  that happens in  a boat that crash with a glaciar, the  protagonists  are Rose, a rich girl of a good family and Jack a poor Boy.  <br/> They fall in love  but rose must marry with another guy. They have a relation ship like lovers, But  in the end, when the boat crush Jack dies  and Rose survives. finally Rose tells the story of his love with jack for the  researchers	
Learners	ES_WR_A1_19_10_3_ARR	2019	14 / 60	23.3	A1 (lower beginner)	Female	19	Universidad de Granada	Filología Hispánica	Segundo	Spanish	Spanish	Spanish	Spanish	9	10	No	""	""	0	B1	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	A2 (upper beginner)	2.75 / 6	""	""	""	""	""	Written	3	3. Film	written_online	20	Outside classroom	Bilingual dictionary (Spanish/English)	The film is based in the last yeras of the famous writer Miguel de Unamuno, just when military coup in Spain happen, is so interesting movie because you can see the horror that the civil war and the dictadure supose for the spanish people. The plot unfolds above all in Salamanca. We can observate how the protagonist changing his politic vision and  as he finally breaks with his feeling of helplessness.	
